id,category,review,notes,date,rating,customer_region
40,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-09,1,NA
41,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-10,2,EU
42,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-02-11,3,APAC
43,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-02-12,5,NA
44,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-02-13,5,EU
45,Grocery,"Chair whispers soft static when moonlight enters � unique-44","Outlier narrative",2024-02-14,4,APAC
46,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-02-15,1,NA
47,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-02-16,3,EU
48,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-17,2,APAC
49,Books,"Parrot mimics startup chime with uncanny accuracy � unique-48","Outlier narrative",2024-02-18,4,NA
50,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-02-19,5,EU
51,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-02-20,5,APAC
52,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-02-21,3,NA
53,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-22,5,EU
54,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-02-23,5,APAC
55,Tools,"Wrench resonates faint harmonic at even torque � unique-54","Outlier narrative",2024-02-24,4,NA
56,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-02-25,5,EU
57,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-02-26,2,APAC
58,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-02-27,1,NA
59,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-02-28,5,EU
60,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-02-29,5,APAC
61,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-03-01,1,NA
62,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-03-02,2,EU
63,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-03-03,5,APAC
64,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-03-04,1,NA
65,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-03-05,5,EU
66,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-03-06,2,APAC
67,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-03-07,1,NA
68,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-03-08,5,EU
69,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-03-09,5,APAC
70,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-10,5,NA
71,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-03-11,3,EU
72,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-12,5,APAC
73,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-03-13,3,NA
74,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-03-14,2,EU
75,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-03-15,3,APAC
76,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-03-16,3,NA
77,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-03-17,5,EU
78,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-03-18,5,APAC
79,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-19,1,NA
80,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-20,5,EU
81,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-03-21,3,APAC
82,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-03-22,3,NA
83,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-03-23,5,EU
84,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-03-24,3,APAC
85,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-03-25,1,NA
86,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-03-26,2,EU
87,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-03-27,2,APAC
88,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-03-28,5,NA
89,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-03-29,5,EU
90,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-03-30,3,APAC
91,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-03-31,3,NA
92,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-04-01,3,EU
93,Grocery,"Device emitted lavender scent unexpectedly � unique-92","Outlier narrative",2024-04-02,4,APAC
94,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-04-03,3,NA
95,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-04-04,3,EU
96,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-04-05,2,APAC
97,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-04-06,3,NA
98,Electronics,"Parrot mimics startup chime with uncanny accuracy � unique-97","Outlier narrative",2024-04-07,4,EU
99,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-04-08,5,APAC
100,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-04-09,5,NA
101,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-10,5,EU
102,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-04-11,5,APAC
103,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-04-12,1,NA
104,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-04-13,2,EU
105,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-14,2,APAC
106,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-04-15,1,NA
107,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-04-16,3,EU
108,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-04-17,3,APAC
109,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-18,5,NA
110,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-04-19,5,EU
111,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-04-20,5,APAC
112,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-04-21,5,NA
113,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-22,2,EU
114,Electronics,"Device emitted lavender scent unexpectedly � unique-113","Outlier narrative",2024-04-23,4,APAC
115,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-04-24,1,NA
116,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-04-25,3,EU
117,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-04-26,5,APAC
118,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-04-27,1,NA
119,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-04-28,2,EU
120,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-04-29,2,APAC
121,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-04-30,1,NA
122,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-05-01,3,EU
123,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-05-02,3,APAC
124,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-03,1,NA
125,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-04,5,EU
126,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-05-05,5,APAC
127,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-05-06,1,NA
128,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-07,2,EU
129,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-05-08,5,APAC
130,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-05-09,1,NA
131,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-05-10,2,EU
132,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-05-11,5,APAC
133,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-12,5,NA
134,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-05-13,3,EU
135,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-05-14,5,APAC
136,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-15,1,NA
137,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-16,2,EU
138,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-05-17,5,APAC
139,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-05-18,5,NA
140,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-19,2,EU
141,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-20,5,APAC
142,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-05-21,3,NA
143,Tools,"Chair whispers soft static when moonlight enters � unique-142","Outlier narrative",2024-05-22,4,EU
144,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-05-23,3,APAC
145,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-05-24,1,NA
146,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-05-25,5,EU
147,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-05-26,5,APAC
148,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-05-27,1,NA
149,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-05-28,5,EU
150,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-05-29,3,APAC
151,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-05-30,1,NA
152,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-05-31,2,EU
153,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-06-01,5,APAC
154,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-06-02,5,NA
155,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-06-03,3,EU
156,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-06-04,5,APAC
157,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-06-05,3,NA
158,Clothing,"Puzzle reveals phosphorescent star map � unique-157","Outlier narrative",2024-06-06,4,EU
159,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-06-07,2,APAC
160,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-06-08,5,NA
161,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-06-09,5,EU
162,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-06-10,3,APAC
163,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-06-11,1,NA
164,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-06-12,3,EU
165,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-06-13,2,APAC
166,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-06-14,5,NA
167,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-06-15,5,EU
168,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-06-16,3,APAC
169,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-06-17,5,NA
170,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-06-18,5,EU
171,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-06-19,2,APAC
172,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-06-20,3,NA
173,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-06-21,5,EU
174,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-22,2,APAC
175,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-06-23,1,NA
176,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-06-24,5,EU
177,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-06-25,2,APAC
178,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-06-26,1,NA
179,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-06-27,2,EU
180,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-06-28,2,APAC
181,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-06-29,3,NA
182,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-06-30,2,EU
183,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-01,3,APAC
184,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-07-02,3,NA
185,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-07-03,3,EU
186,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-07-04,5,APAC
187,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-07-05,5,NA
188,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-07-06,2,EU
189,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-07-07,3,APAC
190,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-07-08,5,NA
191,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-07-09,2,EU
192,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-07-10,2,APAC
193,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-07-11,5,NA
194,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-07-12,3,EU
195,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-07-13,2,APAC
196,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-07-14,1,NA
197,Grocery,"Sparse experimental haiku about quantum states � unique-196","Outlier narrative",2024-07-15,4,EU
198,Clothing,"Device emitted lavender scent unexpectedly � unique-197","Outlier narrative",2024-07-16,4,APAC
199,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-07-17,5,NA
200,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-07-18,3,EU
201,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-07-19,3,APAC
202,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-07-20,5,NA
203,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-07-21,5,EU
204,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-07-22,2,APAC
205,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-07-23,5,NA
206,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-07-24,5,EU
207,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-07-25,3,APAC
208,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-07-26,1,NA
209,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-07-27,3,EU
210,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-07-28,2,APAC
211,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-07-29,1,NA
212,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-07-30,5,EU
213,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-07-31,3,APAC
214,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-08-01,1,NA
215,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-08-02,3,EU
216,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-08-03,2,APAC
217,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-08-04,3,NA
218,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-08-05,5,EU
219,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-08-06,2,APAC
220,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-08-07,5,NA
221,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-08-08,2,EU
222,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-08-09,5,APAC
223,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-08-10,5,NA
224,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-08-11,5,EU
225,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-08-12,5,APAC
226,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-13,1,NA
227,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-08-14,3,EU
228,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-08-15,2,APAC
229,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-08-16,5,NA
230,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-08-17,2,EU
231,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-08-18,5,APAC
232,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-08-19,3,NA
233,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-08-20,2,EU
234,Electronics,"Chair whispers soft static when moonlight enters � unique-233","Outlier narrative",2024-08-21,4,APAC
235,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-08-22,5,NA
236,Toys,"Sauce tastes like smoked cinnamon lightning � unique-235","Outlier narrative",2024-08-23,4,EU
237,Grocery,"Wrench resonates faint harmonic at even torque � unique-236","Outlier narrative",2024-08-24,4,APAC
238,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-08-25,1,NA
239,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-08-26,2,EU
240,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-08-27,5,APAC
241,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-08-28,5,NA
242,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-08-29,2,EU
243,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-08-30,3,APAC
244,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-08-31,1,NA
245,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-09-01,2,EU
246,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-09-02,2,APAC
247,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-09-03,5,NA
248,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-09-04,3,EU
249,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-09-05,5,APAC
250,Electronics,"Overheats rapidly during moderate video rendering","Consistent complaint pattern",2024-09-06,1,NA
251,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-09-07,2,EU
252,Toys,"STEM kit engaged kids collaboratively for hours; but Overheats rapidly during moderate video rendering","Mixed experience",2024-09-08,3,APAC
253,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-09-09,1,NA
254,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-09-10,3,EU
255,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-09-11,5,APAC
256,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-09-12,1,NA
257,Books,"Predictable plot with shallow character arcs","Consistent complaint pattern",2024-09-13,2,EU
258,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-09-14,5,APAC
259,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-09-15,3,NA
260,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-09-16,2,EU
261,Grocery,"Cold brew smooth; balanced acidity and chocolate finish; but Packaging crushed; contents stale and flavorless","Mixed experience",2024-09-17,3,APAC
262,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-09-18,3,NA
263,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-09-19,5,EU
264,Pets,"Dogs consistently engage; durable exterior after weeks","Consistent praise pattern",2024-09-20,5,APAC
265,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-09-21,5,NA
266,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-09-22,5,EU
267,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-09-23,5,APAC
268,Toys,"Device emitted lavender scent unexpectedly � unique-267","Outlier narrative",2024-09-24,4,NA
269,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-09-25,2,EU
270,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-09-26,2,APAC
271,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-09-27,1,NA
272,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-09-28,3,EU
